file,variable,type,description_en,description_ko
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,broad_total,integer,MOIS broad-definition foreign residents = non_naturalized + naturalized + children. Different population definition from MOJ; not directly comparable.,MOIS 광의 외국인주민 = non_naturalized+naturalized+children. MOJ와 모집단 정의가 달라 직접비교 부적절.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,non_naturalized,integer,Foreign residents who have not acquired Korean nationality (subtotal).,한국국적 미취득자 소계.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,workers / marriage_migrants / students / ethnic_koreans / other_foreigners,integer,Non-naturalized breakdown: foreign workers / marriage migrants / international students / overseas Koreans (foreign nationality) / other.,미취득자 세부: 외국인근로자/결혼이민자/유학생/외국국적동포/기타.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,naturalized,integer,Residents who acquired Korean nationality (naturalized).,한국국적 취득자(귀화).
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,children,integer,Children of foreign residents (MOIS multicultural-family children).,외국인주민 자녀.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,settlement_rate_pct,float,Settlement rate = (naturalized + children) / broad_total x100.,정주화율 = (naturalized+children)/broad_total x100.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,labor_dependence_pct / marriage_dependence_pct / study_dependence_pct,float,Share of the non-naturalized population in the labor / marriage / study category (each / non_naturalized x100).,노동/결혼/유학 의존도 = 해당유형/non_naturalized x100.
summary_by_sido.csv / summary_by_sigungu.csv / summary_by_eupmyeondong.csv,settlement_type,string,"District settlement typology (Korean label with inline English): each dependence share is divided by a fixed reference share (workers 0.38, students 0.16, marriage 0.15); the largest ratio at or above 1 sets the label (ties broken industrial > university > marriage-settled), otherwise multi-purpose.","정착유형: 각 의존도를 고정 기준치(근로 0.38, 유학 0.16, 결혼 0.15)로 나눠 1 이상인 최대 비율이 라벨 결정(동률은 산업>대학>결혼 순), 모두 1 미만이면 다목적형."
summary_by_sigungu.csv,broad_apportioned,string,"TRUE where the MOIS broad-definition columns of this general-district (gu) row are estimates apportioned from the parent city's published totals by each gu's MOJ registered-foreigner share (2008-2015, when MOIS publishes general-district cities only at the city level); FALSE where MOIS publishes the district directly; blank where no MOIS composition exists for the row.","이 일반구 행의 MOIS 광의 구성이 부모 시 발행값을 구별 MOJ 등록외국인 비중으로 안분한 추정치이면 TRUE(2008-2015, MOIS가 일반구 시를 시 단위로만 발행), MOIS가 구를 직접 발행하면 FALSE, 해당 행에 MOIS 구성이 없으면 공란."
summary_by_sido.csv / summary_by_sigungu.csv,shannon_H / shannon_H_inclusive / continent_H / HHI / evenness,float,"MOJ-nationality-based diversity, concentration, and evenness indices; see README 'Index definitions'. Begin 2008/2009. Indices are recomputed at each level with the unit treated as one whole; they are never averaged from the level below.","MOJ 국적구성 기반 다양성·집중·균등 지표(정의는 README). 2008/2009~. 지수는 층마다 그 단위를 하나로 보고 다시 계산하며, 아래 층의 평균이 아니다."
summary_by_sido.csv / summary_by_sigungu.csv,index_base_k,integer,"Number of categories the diversity indices are computed over: the top 19 nationalities of that year plus one residual bin. It is 20 wherever at least 20 nationalities are present, so it describes the index basis, not the unit. Carried the name n_nationalities through v1.1.0.","다양성 지수를 계산한 칸 수. 그 해 상위 19개국과 잔여 한 칸이며, 국적이 20개 이상인 곳은 모두 20이다. 그 지역의 성질이 아니라 지수의 밑변이다. v1.1.0 까지 n_nationalities 라는 이름으로 실렸다."
summary_by_sido.csv / summary_by_sigungu.csv,n_nationalities_observed,integer,"Distinct nationalities the source lists for that unit and year, with the residual bin excluded. Capped at 19 for 2008-2013, when the yearbook publishes only the top 19 plus a residual at the district level; full detail from 2014.",그 단위·그 해에 연감이 싣는 국적 수(잔여 칸 제외). 연감이 시군구 단위에서 전체 국적을 싣기 시작한 해가 2014년이라 2008-2013 은 19에서 막힌다.
summary_by_sigungu.csv,lisa,string,"Local Moran cluster class of the district's foreign share: HH / LL / HL / LH (99,999-permutation conditional randomization, p<0.05, no multiple-comparison correction) or ns. Roughly 242 districts are tested each year, so about 12 reach p<0.05 by chance; use lisa_fdr for a corrected reading. Island districts with no contiguous neighbor are ns, since the statistic is not defined there. Every year of the panel is computed, including the years before 2014: the statistic needs only the foreign share, which this file carries from 2008. Sigungu only.","시군구 외국인비율의 국지적 Moran 군집 분류: HH/LL/HL/LH(99,999회 순열, p<0.05, 다중비교 보정 없음) 또는 ns. 해마다 약 242곳을 검정하므로 우연히 12곳가량이 p<0.05 에 걸린다. 보정된 판정은 lisa_fdr 을 쓰십시오. 인접 이웃이 없는 도서 시군구는 ns(통계가 정의되지 않음). 2014년 이전을 포함해 모든 해를 계산합니다. 이 통계에 필요한 것은 외국인 비율뿐이고 이 파일이 2008년부터 담습니다. 시군구 전용."
summary_by_sigungu.csv,lisa_fdr,string,"The same local Moran classes after a Benjamini-Hochberg false-discovery-rate correction at q=0.05 across the districts tested that year, or ns. Far fewer districts survive: in 2024 two do and none of them is high-high, against 52 and 16 uncorrected. The 99,999 permutations exist so that this correction is possible at all; with 999 the smallest attainable p exceeds the first Benjamini-Hochberg threshold and nothing can pass.","같은 분류에 Benjamini-Hochberg 위발견율 보정(q=0.05)을 걸어 남은 것, 아니면 ns. 훨씬 적게 남는다. 2024년은 2곳이고 그중 고-고는 없다(보정 전 52곳, 고-고 16곳). 순열을 99,999회로 둔 것이 이 보정을 가능하게 하려는 것이다. 999회면 최소 p 가 BH 의 첫 문턱보다 커서 아무것도 통과하지 못한다."
nationality_by_sigungu.csv / visa_by_sigungu.csv / visa_by_nationality.csv / age_sex_national.csv / children_by_age.csv / multicultural_households.csv,year,integer,Reference year.,기준연도.
nationality_by_sigungu.csv / visa_by_sigungu.csv,sido / sido_en / sigungu / sigungu_en,string,Province and district (Korean + English).,시도·시군구(한글+영문).
nationality_by_sigungu.csv,country / country_en,string,Nationality (Korean + English).,국적(한글+영문).
nationality_by_sigungu.csv,n,integer,MOJ registered foreigners of that nationality in that district-year (2009-2024).,해당 시군구·연도·국적의 MOJ 등록외국인 수(2009-2024).
visa_by_sigungu.csv,visa_code,string,"Visa/status-of-stay code, written without hyphens (E9, F4 = the source's E-9, F-4).","체류자격(비자) 코드, 하이픈 없이 표기(E9, F4 = 원자료의 E-9, F-4)."
visa_by_sigungu.csv,n,integer,MOJ registered foreigners on that visa in that district-year (2008-2024).,해당 시군구·연도·비자의 MOJ 등록외국인 수(2008 및 2017-2024).
visa_by_nationality.csv,population,string,Population base (values: registered / stay): staying foreigners (체류) or registered foreigners (등록).,모집단: 체류외국인 또는 등록외국인.
visa_by_nationality.csv,country / country_en,string,Nationality (Korean + English).,국적(한글+영문).
visa_by_nationality.csv,visa_code,string,"Visa/status-of-stay code, written without hyphens (E9, F4 = the source's E-9, F-4).","체류자격(비자) 코드, 하이픈 없이 표기(E9, F4 = 원자료의 E-9, F-4)."
visa_by_nationality.csv,visa_label / visa_label_en,string,Visa category label (Korean + English). A few pre-2011 legacy codes carry no descriptive source label and mirror the code (e.g. M1).,비자 분류 라벨(한글+영문). 2006-2011 일부 옛 코드는 원자료에 설명 라벨이 없어 코드를 그대로 둠(예 M1).
visa_by_nationality.csv,n,integer,Count for that population x nationality x visa x year (2006-2024).,모집단×국적×비자×연도 인원(2006-2024).
age_sex_national.csv,country / country_en,string,Nationality (Korean + English).,국적(한글+영문).
age_sex_national.csv,gender,string,"Sex: M, F, or T for the published total. From the 2023 edition the source also publishes a 제3의성 (third sex) row, which is counted in T but is not carried here, so M + F falls short of T by a few people in some countries (9 nationwide in 2024). Use T for a total.","성별(M 남성, F 여성, T 계). 2023년판부터 원자료에 제3의성 행이 있고 그 값은 T 에 들어 있으나 이 파일에는 따로 싣지 않으므로, 일부 국적에서 M + F 가 T 보다 몇 명 적습니다(2024년 전국 9명). 총계는 T 를 쓰십시오."
age_sex_national.csv,age_group,string,Age band.,연령대.
age_sex_national.csv,n,integer,MOJ registered foreigners for that nationality x age x sex x year (2009-2024).,국적×연령×성별×연도 MOJ 등록외국인 수(2009-2024).
children_by_age.csv,sido / sido_en / sigungu / sigungu_en,string,Province and district (Korean + English).,시도·시군구(한글+영문).
children_by_age.csv,age,integer,"Single year of age, 0-18. No sex breakdown (not published by the source).",연령(0-18세 단년). 성별 구분 없음(원자료 미발행).
children_by_age.csv,n,integer,"MOIS children of foreign residents at that age (2011-2024). Covers ALL foreign-resident children (Korea-born plus naturalized/foreign-nationality), so sums exceed the summary files' children column, which counts Korea-born only from 2016. City grain for general-district cities before 2016; gu grain from 2016.","해당 연령 외국인주민 자녀 수(2011-2024). 전체 자녀(국내출생+귀화·외국국적) 기준이라 합계가 summary의 children(2016년부터 국내출생만)보다 큼. 2016년 이전은 일반구 시를 시 단위로, 2016년부터 구 단위로 수록."
multicultural_households.csv,sido / sido_en / sigungu / sigungu_en,string,Province and district (Korean + English).,시도·시군구(한글+영문).
multicultural_households.csv,adm_code,string,"Statutory sub-district code (법정동코드) for the eupmyeondong, carried from summary_by_eupmyeondong; blank where the sub-district could not be matched for that year. Added in v1.2.0 so this file joins on a code and not a name.","읍면동의 법정동코드. summary_by_eupmyeondong 에서 옮겨 붙였고, 그 해에 짝을 못 찾은 곳은 공백이다. 이름이 아니라 코드로 붙이라고 v1.2.0 에서 넣었다."
multicultural_households.csv,eupmyeondong,string,"Sub-district (eup/myeon/dong), Korean only.",읍·면·동(한글만).
multicultural_households.csv,category / category_en,string,"Household-member type (Korean + English). The MOIS source is a 3-level hierarchy flattened into this file (see category_level), so totals and subtotals coexist with leaf categories.",다문화가구원 유형(한글+영문). MOIS 원자료가 3단 계층이라 합계·소계·말단이 한 파일에 공존(category_level 참조).
multicultural_households.csv,category_level,string,"Hierarchy level of the category: 'total' (합계), 'subtotal' (the three _소계), or 'leaf'. Filter to one level before summing to avoid double counting.",카테고리 계층: 'total'(합계)/'subtotal'(3개 _소계)/'leaf'(말단). 합산 전 한 레벨만 골라야 중복집계 방지.
multicultural_households.csv,n,integer,MOIS multicultural household members of that type (2016-2024).,해당 유형 다문화가구원 수(2016-2024).
naturalization_annual.csv / naturalization_by_country.csv / naturalization_by_age.csv,year,integer,"Reference year. The annual series runs 2011-2024; the by-country and by-age panels run 2009-2024, one year per yearbook edition.","기준연도. 연도별 시계열 2011-2024, 국적별·연령별 패널 2009-2024(연보 1권당 1개 연도)."
naturalization_by_country.csv,country / country_en,string,Former nationality (Korean + English).,종전국적(한글+영문).
naturalization_by_age.csv,age,string,"Ten-year age band, harmonized across editions by publication order because the source labels the same bins four different ways (0~10세 / 0~10 / a bare 10 / 0세~9세).",10세 단위 연령대. 연보마다 표기가 달라(0~10세 / 0~10 / 10 / 0세~9세) 게재 순서로 통일.
naturalization_annual.csv / naturalization_by_country.csv / naturalization_by_age.csv,type / type_en,string,"Nationality-processing route (Korean + English). Editions before 2014 publish a single 귀화; later ones split it into general, simplified and special naturalization plus acquisition by family, and 귀화소계 is their sum, which is what the annual table calls 귀화.","국적처리 유형(한글+영문). 2014년 이전 연보는 귀화 단일 컬럼, 이후는 일반·간이·특별귀화와 수반취득으로 분리되며 귀화소계는 그 합(연도별 표의 귀화와 동일 정의)."
naturalization_annual.csv / naturalization_by_country.csv / naturalization_by_age.csv,n,integer,Count of cases.,건수.
ethnic_enclaves.csv,year,integer,Reference year (2008-2024).,기준연도(2008-2024).
ethnic_enclaves.csv,sido / sido_en / sigungu / sigungu_en,string,Province and district (Korean + English).,시도·시군구(한글+영문).
ethnic_enclaves.csv,country / country_en,string,Enclave-forming nationality (Korean + English).,집거 형성 국적(한글+영문).
ethnic_enclaves.csv,count,integer,Registered foreigners of that nationality in that district.,해당 시군구의 해당 국적 등록외국인 수.
ethnic_enclaves.csv,lq,float,Location quotient on the resident-registry base: (n / district resident_pop) / (national n / national resident_pop); NOT the within-foreigner share.,입지계수 = 지역 점유율 / 전국 점유율.
ethnic_enclaves.csv,share_of_foreign_pct,float,That nationality's share of the district's total foreign population x100.,해당 국적이 시군구 전체 외국인에서 차지하는 비율 x100.
ethnic_enclaves.csv,sigungu_foreign_total,integer,Total foreign population of the district (the share denominator).,시군구 전체 외국인 수(share 분모).
crosswalk_country.csv,source_label,string,Nationality label as it appears in a source yearbook edition.,연감 판본에 실린 국적 표기.
crosswalk_country.csv,country / country_en,string,"Canonical nationality this dataset uses, Korean and English.",이 자료가 쓰는 표준 국적 이름(한글+영문).
crosswalk_country.csv,continent / continent_en,string,World region the canonical nationality is assigned to.,그 국적이 속한 세계 지역.
crosswalk_country.csv,rule,string,"'source label variant' where two labels were merged, 'unchanged' otherwise.","두 표기를 합친 자리는 'source label variant', 아니면 'unchanged'."
crosswalk_region.csv,level,string,"Administrative level the row applies to: sido, sigungu, eupmyeondong, or 'lineage' for a boundary-change record.","행이 가리키는 층: sido, sigungu, eupmyeondong, 또는 경계변경 기록 'lineage'."
crosswalk_region.csv,source_sido / source_name,string,Province and place name as the source writes it.,원자료의 시도·지명 표기.
crosswalk_region.csv,sido / name,string,Province and place name this dataset uses.,이 자료가 쓰는 시도·지명.
crosswalk_region.csv,rule,string,"Why the two differ: renamed, promoted, moved between provinces, folded into a city total, or a boundary-lineage record in JSON.","다른 이유: 개명, 승격, 시도 이동, 시 총계로 합침, 또는 JSON 으로 적은 경계 이력."
crosswalk_visa.csv,source_code,string,"Visa code as a source edition lists it, including pre-2010 sub-codes.",연감 판본의 체류자격 코드. 2010년 이전 하위 코드를 포함한다.
crosswalk_visa.csv,visa_code / visa_label / visa_label_en,string,"Parent code this dataset reports, with its Korean and English name.",이 자료가 싣는 부모 코드와 그 한글·영문 이름.
crosswalk_visa.csv,rule,string,'sub-code collapsed to parent' or 'unchanged'.,'sub-code collapsed to parent' 또는 'unchanged'.
language_weights.csv,country,string,"Nationality, in the canonical label.",표준 국적 이름.
language_weights.csv,language / language_en,string,A first language spoken in that country of origin.,그 출신국에서 쓰이는 제1언어.
language_weights.csv,share,float,"Fraction of that country's population speaking the language as a first language; the weights language_demand allocates each nationality with. Derived from Ethnologue, which is not redistributed here.",그 나라 인구 가운데 그 언어를 모어로 쓰는 비율. language_demand 가 국적을 나눌 때 쓰는 가중치다. Ethnologue 에서 파생했고 원본은 재배포하지 않는다.
language_weights.csv,note,string,'no first-language shares available' where the source has no entry.,출처에 항목이 없는 나라는 'no first-language shares available'.
language_demand.csv,year,integer,Reference year (2006-2024).,기준연도(2006-2024).
language_demand.csv,scope,string,"'national' (all languages, computed from the published national staying-foreigners composition, nationality_national population='stay'), 'sido' (all languages per province, computed from the registered district-assigned sums in nationality_by_sido; added in v1.2.0), or 'sigungu' (top ~20 languages per district, from nationality_by_sigungu). The national scope therefore sits on the broader staying-population basis while the subnational scopes sit on the registered district-assigned basis; the scopes are not nested sums.","'national'(전체 언어; 공표 전국 체류외국인 구성, nationality_national 의 population='stay' 에서 계산), 'sido'(시도별 전체 언어; nationality_by_sido 의 등록·시군구 배정 합에서 계산, v1.2.0 추가), 'sigungu'(시군구당 상위 ~20개; nationality_by_sigungu 에서). 전국은 체류 기준, 시도·시군구는 등록(시군구 배정) 기준이라 scope 간 합산 관계가 아니다."
language_demand.csv,sido / sido_en / sigungu / sigungu_en,string,Province and district (Korean + English); blank for national-scope rows.,시도·시군구(한글+영문); national 행은 공백.
language_demand.csv,language / language_en,string,Estimated first language (Korean + English).,추정 모어(한글+영문).
language_demand.csv,count,integer,Estimated speakers = nationality count x that country's L1 (mother-tongue) speaker share (Ethnologue 24); rounded to whole persons. Korean excluded; estimates below one person are dropped before rounding.,"추정 화자수 = 국적별 인원 x 해당국 L1 모어 share(Ethnologue 24); 정수로 반올림. 한국어 제외, 1명 미만 추정치는 반올림 전에 드롭."
segregation_by_nationality.csv,year,integer,Reference year (2014-2024).,기준연도(2014-2024).
segregation_by_nationality.csv,country / country_en,string,Nationality (Korean + English).,국적(한글+영문).
segregation_by_nationality.csv,continent / continent_en,string,World region of origin (Korean + English).,출신 권역(한글+영문).
segregation_by_nationality.csv,national_total,integer,National count of that nationality (segregation base).,해당 국적 전국 인원(분리지수 기준).
segregation_by_nationality.csv,dissimilarity_D,float,Index of dissimilarity (D) vs Koreans across districts (evenness).,"내국인 대비 비유사성 지수(D), 시군구 분포(균등성)."
segregation_by_nationality.csv,isolation,float,Isolation index (own-group exposure).,고립 지수(동족 노출).
segregation_by_nationality.csv,interaction_korean,float,Interaction with Koreans (cross-group exposure).,내국인과의 접촉(이질 노출).
nationality_by_sido.csv,year / sido / sido_en / country / country_en / n,mixed,"nationality_by_sigungu summed within the province, 2008-2024: registered foreigners of that nationality in that province-year. Allocated basis (people the yearbook records without a district are absent), so province sums run slightly below the national tables.",nationality_by_sigungu 를 시도 안에서 더한 것(2008-2024). 시군구가 적히지 않은 사람이 빠지는 배분 기준이라 전국 표보다 조금 적다.
nationality_national.csv,year / population / country / country_en / n,mixed,"visa_by_nationality summed over visa_code, 2006-2024: the published national count of that nationality, for both population bases.",visa_by_nationality 를 자격에 대해 더한 것(2006-2024). 그 국적의 공표 전국 수이며 두 인구 기준을 모두 싣는다.
visa_by_sido.csv,year / sido / sido_en / visa_code / n,mixed,"visa_by_sigungu summed within the province, 2008-2024. Allocated basis, as nationality_by_sido.",visa_by_sigungu 를 시도 안에서 더한 것(2008-2024). 배분 기준은 nationality_by_sido 와 같다.
visa_national.csv,year / population / visa_code / visa_label / visa_label_en / n,mixed,"visa_by_nationality summed over country, 2006-2024: the published national count under that status, for both population bases.",visa_by_nationality 를 국적에 대해 더한 것(2006-2024). 그 자격의 공표 전국 수이며 두 인구 기준을 모두 싣는다.
national_annual.csv,broad_total / non_naturalized / workers / marriage_migrants / students / ethnic_koreans / other_foreigners / naturalized / children,integer,"The MOIS settlement-composition block the sido and sigungu summaries carry, summed to the national level (added in v1.2.0). A year is filled only when every province reports; otherwise blank, never 0.","시도·시군구 요약이 싣는 행정안전부 정착 구성 블록을 전국으로 더한 것(v1.2.0 추가). 모든 시도가 보고한 해만 채우고, 아니면 0이 아니라 공란이다."
national_annual.csv,settlement_rate_pct / labor_dependence_pct / marriage_dependence_pct / study_dependence_pct,float,Derived from the national sums with the same formulas as the sido and sigungu summaries.,전국 합에서 시도·시군구 요약과 같은 식으로 계산한 값.
region_segregation.csv,year,integer,Reference year (2014-2024).,기준연도(2014-2024).
region_segregation.csv,continent / continent_en,string,"Continent / world region of origin (Korean + English). Named region / region_en through v1.1.0; the values are continents, not places in Korea.",출신 대륙·권역(한글+영문). v1.1.0 까지 region 이라는 이름이었다. 값은 한국의 지역이 아니라 출신 대륙이다.
region_segregation.csv,total,integer,National count of foreigners from that region.,해당 권역 전국 외국인 수.
region_segregation.csv,dissimilarity_D,float,Index of dissimilarity (D) vs Koreans across districts.,내국인 대비 비유사성 지수(D).
region_segregation.csv,isolation,float,Isolation index.,고립 지수.
national_annual.csv,year,integer,Reference year (2008/2009-2024).,기준연도(2008/2009-2024).
national_annual.csv,foreign_total,integer,National MOJ registered foreigners (= sum of summary_by_sigungu).,전국 MOJ 등록외국인(= summary_by_sigungu 합).
national_annual.csv,total_pop,integer,National resident-registration population.,전국 주민등록인구.
national_annual.csv,foreign_share_pct,float,National foreign share x100.,전국 외국인 비율 x100.
national_annual.csv,shannon_H / shannon_H_inclusive / continent_H / HHI / evenness,float,"National-level diversity, concentration, and evenness indices (see README).",전국 수준 다양성·집중·균등 지표(README 참조).
national_annual.csv,theil_segregation_H,float,"Theil multigroup segregation H over Koreans + each nationality (Reardon & Firebaugh 2002), on a uniform top-19-plus-residual basis every year, over all districts, with Korean count = resident_pop and district total = resident_pop + registered_foreigners.","내국인+국적별 Theil 다집단 분리지수 H(Reardon & Firebaugh 2002). 전 연도 동일한 top-19+잔여 기준, 전 시군구, 내국인=resident_pop, 분모=resident_pop+등록외국인."
national_annual.csv,morans_I_share,float,Moran's I of the district foreign-share surface (spatial autocorrelation).,시군구 외국인비율의 Moran's I(공간 자기상관).
national_annual.csv,index_base_k,integer,"Number of categories the diversity indices are computed over: the top 19 nationalities of that year plus one residual bin. It is 20 wherever at least 20 nationalities are present, so it describes the index basis, not the unit. Carried the name n_nationalities through v1.1.0.","다양성 지수를 계산한 칸 수. 그 해 상위 19개국과 잔여 한 칸이며, 국적이 20개 이상인 곳은 모두 20이다. 그 지역의 성질이 아니라 지수의 밑변이다. v1.1.0 까지 n_nationalities 라는 이름으로 실렸다."
national_annual.csv,n_nationalities_observed,integer,"Distinct nationalities the source lists for that unit and year, with the residual bin excluded. Capped at 19 for 2008-2013, when the yearbook publishes only the top 19 plus a residual at the district level; full detail from 2014.",그 단위·그 해에 연감이 싣는 국적 수(잔여 칸 제외). 연감이 시군구 단위에서 전체 국적을 싣기 시작한 해가 2014년이라 2008-2013 은 19에서 막힌다.
national_annual.csv,n_enclaves,integer,Number of ethnic enclaves that year (LQ>=2 & single nationality >=30%).,그 해 집거지 수(LQ>=2 & 단일국적>=30%).
(all files),*_en columns,string,"Every Korean categorical column has an English partner (sido_en, sigungu_en, country_en, language_en, category_en, type_en, visa_label_en, region_en, continent_en). Files are UTF-8 with BOM: read with encoding='utf-8-sig'.",모든 한글 범주 컬럼에 영문 병기. 파일은 UTF-8 BOM → encoding='utf-8-sig'로 읽기.
